Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,63.0,63.32,62.85,62.95,3987151.0,0.0,1.0,61.19217233454478,61.502989717831355,61.046476686129196,61.14360711840625,3987151.0
2017-12-27,63.56,63.6,62.77,62.95,8959745.0,0.0,1.0,61.73610275529629,61.77495492820711,60.96877234030755,61.14360711840625,8959745.0
2017-12-26,62.9,63.89,62.81,63.65,4563475.0,0.0,1.0,61.09504190226772,62.05663318181057,61.007624513218374,61.823520144345636,4563475.0
2017-12-22,61.21,63.54,60.13,63.29,20413895.0,0.0,1.0,59.45353759678549,61.716676668840876,58.404528928193294,61.47385058814824,20413895.0
2017-12-21,64.33,64.98,63.3,64.77,14312589.0,0.0,1.0,62.48400708382961,63.115354893630474,61.48356363137594,62.91138098584865,14312589.0
2017-12-20,64.4,64.5,63.58,63.59,12467507.0,0.0,1.0,62.551998386423556,62.6491288187006,61.7555288417517,61.7652418849794,12467507.0
2017-12-19,65.09,65.185,64.18,64.24,8211757.0,0.0,1.0,63.222198369135235,63.31447227979844,62.338311435414035,62.39658969478025,8211757.0
2017-12-18,64.99,65.08,64.39,64.81,12651762.0,0.0,1.0,63.12506793685817,63.21248532590752,62.54228534319584,62.95023315875948,12651762.0
2017-12-15,64.93,65.07,64.15,64.79,15659260.0,0.0,1.0,63.06678967749195,63.20277228267981,62.30917230573092,62.93080707230407,15659260.0
2017-12-14,64.435,64.85,64.05,64.53,13054089.0,0.0,1.0,62.58599403772052,62.98908533167029,62.212041873453856,62.67826794838372,13054089.0
2017-12-13,62.22,64.46,62.02,64.3,16072573.0,0.0,1.0,60.43455496278374,62.610276645789774,60.24029409822964,62.45486795414649,16072573.0
2017-12-12,61.81,62.53,61.65,62.17,7323390.0,0.0,1.0,60.036320190447825,60.73565930284262,59.88091149880453,60.38598974664522,7323390.0
2017-12-11,61.37,62.22,61.3,61.91,9017814.0,0.0,1.0,59.608946288428776,60.43455496278374,59.54095498583484,60.13345062272487,9017814.0
2017-12-08,60.5,61.37,60.29,61.3,6065031.0,0.0,1.0,58.7639115276184,59.608946288428776,58.55993761983658,59.54095498583484,6065031.0
2017-12-07,59.86,61.06,59.65,60.6,6113267.0,0.0,1.0,58.142276761045245,59.307841948369905,57.93830285326342,58.86104195989545,6113267.0
2017-12-06,60.41,60.85,59.7,59.72,7862151.0,0.0,1.0,58.67649413856904,59.10386804058809,57.98686806940196,58.00629415585737,7862151.0
2017-12-05,60.65,60.8,59.65,60.42,8862835.0,0.0,1.0,58.90960717603398,59.05530282444956,57.93830285326342,58.68620718179675,8862835.0
2017-12-04,60.27,60.695,59.97,60.1,7513230.0,0.0,1.0,58.54051153338117,58.953315870558654,58.249120236550006,58.37538979851018,7513230.0
2017-12-01,60.42,60.43,59.24,59.88,10113565.0,0.2,1.0,58.68620718179675,58.69592022502446,57.540068080927504,58.161702847500656,10113565.0
2017-11-30,60.26,61.21,60.2,60.42,12551203.0,0.0,1.0,58.33595561901447,59.25562302422628,58.2778713618432,58.4908469714712,12551203.0
2017-11-29,59.73,60.63,59.73,60.36,12022708.0,0.0,1.0,57.82287801400156,58.69414187157065,57.82287801400156,58.43276271429992,12022708.0
2017-11-28,58.76,59.6,58.54,59.58,8665270.0,0.0,1.0,56.88384918973266,57.697028790130474,56.67087358010466,57.67766737107338,8665270.0
2017-11-27,59.2,59.7,59.17,59.63,7891586.0,0.0,1.0,57.309800408988664,57.79383588541593,57.28075828040302,57.72607091871611,7891586.0
2017-11-24,59.0,59.35,58.91,59.32,3400441.0,0.0,1.0,57.11618621841775,57.45501105191684,57.02905983266084,57.425968923331205,3400441.0
2017-11-22,59.18,59.34,58.94,59.07,8500589.0,0.0,1.0,57.290438989931566,57.445330342388296,57.05810196124648,57.18395118511757,8500589.0
2017-11-21,59.03,59.4,58.93,59.39,9057779.0,0.0,1.0,57.14522834700339,57.50341459955956,57.04842125171793,57.493733890031024,9057779.0
2017-11-20,58.63,59.5,57.98,59.25,8480447.0,0.0,1.0,56.75799996586157,57.60022169484502,56.12875384650612,57.358203956631385,8480447.0
2017-11-17,58.54,59.53,58.37,59.19,15475385.0,0.0,1.0,56.67087358010466,57.629263823430655,56.506301518119386,57.30011969946011,15475385.0
2017-11-16,56.62,57.2775,56.41,57.23,8232308.0,0.0,1.0,54.81217735062395,55.44868400212581,54.60888245052449,55.402700631865216,8232308.0
2017-11-15,55.96,56.87,55.08,56.63,6610545.0,0.0,1.0,54.17325052173995,55.05419508883758,53.32134808322796,54.8218580601525,6610545.0
2017-11-14,55.71,56.18,55.53,55.98,5037418.0,0.0,1.0,53.93123278352632,54.386226131367955,53.756980012012505,54.19261194079704,5037418.0
